transcript,language,timestamp,user_id
"నా స్నేహితుడు నన్ను మోసం చేశాడు.",te,2024-05-02T10:15:00,user_301
"ఎవరైనా నా ఫోన్ నెంబర్ లీక్ చేశాడు.",te,2024-05-02T11:45:00,user_302
"ఇంట్లో ఒత్తిడితో నేను తీవ్రంగా బాధపడుతున్నాను.",te,2024-05-03T09:00:00,user_303
"ఇంటర్నెట్‌లో ఎవరో నన్ను వేధిస్తున్నారు.",te,2024-05-03T10:30:00,user_304
"నా ప్రియుడు నా అభిప్రాయాన్ని పట్టించుకోడు.",te,2024-05-04T12:20:00,user_305
"నేను చేసిన పని వలన తల్లిదండ్రులు నన్ను నమ్మడం మానేశారు.",te,2024-05-04T13:50:00,user_306
"నాకు ఉద్యోగం దొరకడం లేదు, భవిష్యత్‌పై భయం వేసింది.",te,2024-05-05T08:10:00,user_307
"నా వ్యక్తిగత సమాచారం ఎవరో షేర్ చేశారు.",te,2024-05-05T09:40:00,user_308
"నాకు మేలుకలలు రావడం లేదు, రోజంతా టెన్షన్‌లో ఉన్నాను.",te,2024-05-06T07:30:00,user_309
"వారికి నేను నచ్చను అని క్లియర్‌గా చెప్పారు.",te,2024-05-06T08:45:00,user_310
